pathway	pathway_name	Subcategory	Category
ko00900	00900 Terpenoid backbone biosynthesis 	09109 Metabolism of terpenoids and polyketides	09100 Metabolism
ko00513	00513 Various types of N-glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00450	00450 Selenocompound metabolism 	09106 Metabolism of other amino acids	09100 Metabolism
ko00770	00770 Pantothenate and CoA biosynthesis 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00510	00510 N-Glycan biosynthesis 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko00981	00981 Insect hormone biosynthesis 	09109 Metabolism of terpenoids and polyketides	09100 Metabolism
ko00830	00830 Retinol metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00440	00440 Phosphonate and phosphinate metabolism 	09106 Metabolism of other amino acids	09100 Metabolism
ko00860	00860 Porphyrin metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00785	00785 Lipoic acid metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko04137	04137 Mitophagy - animal 	09141 Transport and catabolism	09140 Cellular Processes
ko00750	00750 Vitamin B6 metabolism 	09108 Metabolism of cofactors and vitamins	09100 Metabolism
ko00350	00350 Tyrosine metabolism 	09105 Amino acid metabolism	09100 Metabolism
ko03265	03265 Virion - Ebolavirus, Lyssavirus and Morbillivirus 	09125 Information processing in viruses	09120 Genetic Information Processing
ko00534	00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin 	09107 Glycan biosynthesis and metabolism	09100 Metabolism
ko03266	03266 Virion - Herpesvirus 	09125 Information processing in viruses	09120 Genetic Information Processing
ko04214	04214 Apoptosis - fly 	09143 Cell growth and death	09140 Cellular Processes
ko04215	04215 Apoptosis - multiple species 	09143 Cell growth and death	09140 Cellular Processes
ko00910	00910 Nitrogen metabolism 	09102 Energy metabolism	09100 Metabolism
ko01210	01210 2-Oxocarboxylic acid metabolism	09113 Global and overview maps	09100 Metabolism
