module	module_name	中文名	category_C	category_B	
M00642	Multidrug resistance, efflux pump MexJK-OprM	多药耐药性,外排泵MexJK-OprM	Drug resistance	Drug resistance	
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	完全硝化作用,comammox,氨→亚硝酸盐→硝酸盐	Nitrogen metabolism	Energy metabolism	
M00079	Keratan sulfate degradation	角蛋白硫酸盐的降解	Glycosaminoglycan metabolism	Glycan metabolism	
M00615	Nitrate assimilation	硝酸盐同化	Metabolic capacity	Metabolic capacity	
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	NAD(P)H:醌氧化还原酶,叶绿体和蓝细菌	ATP synthesis	Energy metabolism	
M00978	Ornithine-ammonia cycle	鸟氨酸-氨循环	Arginine and proline metabolism	Amino acid metabolism	
M00083	Fatty acid biosynthesis, elongation	脂肪酸的生物合成,延伸阶段	Fatty acid metabolism	Lipid metabolism	
ko03010	Ribosome	核糖体	Translation	Genetic Information Processing	
M00972	Proline metabolism	脯氨酸代谢	Arginine and proline metabolism	Amino acid metabolism	
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	糖异生,草酰乙酸→果糖-6P	Central carbohydrate metabolism	Carbohydrate metabolism	
M00799	dTDP-L-oleandrose biosynthesis	dTDP-L-奥兰德糖的生物合成	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides	
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	辅酶A的生物合成,古菌,α-酮异戊酸→4-磷酸泛酰巯基乙胺→CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	甲醛的同化,核糖单磷酸途径	Methane metabolism	Energy metabolism	
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	EHEC/EPEC致病性特征,T3SS和效应子	Pathogenicity	Pathogenicity	
M00890	Roseoflavin biosynthesis, FMN => roseoflavin	玫瑰红素的生物合成,FMN→玫瑰红素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00567	Methanogenesis, CO2 => methane	甲烷生成,CO2→甲烷	Methane metabolism	Energy metabolism	
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	不完全还原型柠檬酸循环,乙酰辅酶A→α-酮戊二酸	Carbon fixation	Energy metabolism	
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	阳离子抗菌肽(CAMP)耐药性,VraFG转运蛋白	Drug resistance	Drug resistance	
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	UDP-N-乙酰-D-葡萄糖胺的生物合成,原核生物,葡萄糖→UDP-GlcNAc	Other carbohydrate metabolism	Carbohydrate metabolism	
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	腺嘌呤核糖核苷酸的生物合成,IMP→ADP,ATP	Purine metabolism	Nucleotide metabolism	
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	阿卡波糖的生物合成,七碳糖-7P→阿卡波糖	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00966	Equol biosynthesis, daidzein => equol	大豆素的生物合成,大豆素→野葛碱	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites	
M00899	Thiamine salvage pathway, HMP/HET => TMP	硫胺素补救途径,HMP/HET→TMP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00617	Methanogen	甲烷生成菌	Metabolic capacity	Metabolic capacity	
ko03020	RNA polymerase	RNA聚合酶	Transcription	Genetic Information Processing	
M00612	Anoxygenic photosynthesis in purple bacteria	紫色细菌中的非产氧光合作用	Metabolic capacity	Metabolic capacity	
M00165	Reductive pentose phosphate cycle (Calvin cycle)	还原型戊糖磷酸循环(Calvin循环)	Carbon fixation	Energy metabolism	
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	多胺的生物合成,精氨酸→鸟氨酸→腐胺	Polyamine biosynthesis	Amino acid metabolism	
M00140	C1-unit interconversion, prokaryotes	C1单位的相互转化,原核生物	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	硫胺素的生物合成,古菌,AIR(+NAD+)→TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	还原型乙酰辅酶A途径(Wood-Ljungdahl途径)	Carbon fixation	Energy metabolism	
M00357	Methanogenesis, acetate => methane	甲烷生成,乙酸→甲烷	Methane metabolism	Energy metabolism	
M00618	Acetogen	乙酸生成菌	Metabolic capacity	Metabolic capacity	
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	非磷酸化Entner-Doudoroff途径,葡萄糖酸/半乳糖酸→甘油酸	Central carbohydrate metabolism	Carbohydrate metabolism	
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	儿茶酚胺的生物合成,酪氨酸→多巴→去甲肾上腺素→肾上腺素	Aromatic amino acid metabolism	Amino acid metabolism	
M00375	Hydroxypropionate-hydroxybutylate cycle	羟基丙酸-羟基丁酸循环	Carbon fixation	Energy metabolism	
ko01052	Type I polyketide structures	I型聚酮结构	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	
M00416	Cytochrome aa3-600 menaquinol oxidase	细胞色素aa3-600甲萘醌氧化酶	ATP synthesis	Energy metabolism	
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	甲苯的降解,厌氧,甲苯→苯甲酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	枯草芽孢杆菌致病性特征,多谷氨酸荚膜的生物合成	Pathogenicity	Pathogenicity	
M00356	Methanogenesis, methanol => methane	甲烷生成,甲醇→甲烷	Methane metabolism	Energy metabolism	
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	嘧啶的降解,尿嘧啶→β-丙氨酸,胸嘧啶→3-氨基异丁酸	Pyrimidine metabolism	Nucleotide metabolism	
ko00121	Secondary bile acid biosynthesis	次级胆汁酸的生物合成	Lipid metabolism	Lipid metabolism	
